surface	cell	gold	panel
웃으시는 조카의 스승님도 기다렸다 => 	SI_N2	뒤	f2prime
웃는 스승님의 조카도 기다렸다 => 	PL_N1	뒤	f2prime
웃는 조카의 스승님도 기다렸다 => 	PL_N2	앞	f2prime
웃으시는 스승님의 조카도 기다렸어요 => 	SI_N1	앞	f2prime
웃으시는 조카의 스승님도 기다렸어요 => 	SI_N2	뒤	f2prime
웃는 스승님의 조카도 기다렸어요 => 	PL_N1	뒤	f2prime
웃는 조카의 스승님도 기다렸어요 => 	PL_N2	앞	f2prime
오시는 스승님의 조카도 기다렸다 => 	SI_N1	앞	f2prime
오시는 조카의 스승님도 기다렸다 => 	SI_N2	뒤	f2prime
오는 스승님의 조카도 기다렸다 => 	PL_N1	뒤	f2prime
오는 조카의 스승님도 기다렸다 => 	PL_N2	앞	f2prime
오시는 스승님의 조카도 기다렸어요 => 	SI_N1	앞	f2prime
오시는 조카의 스승님도 기다렸어요 => 	SI_N2	뒤	f2prime
오는 스승님의 조카도 기다렸어요 => 	PL_N1	뒤	f2prime
오는 조카의 스승님도 기다렸어요 => 	PL_N2	앞	f2prime
떠나시는 스승님의 조카도 기다렸다 => 	SI_N1	앞	f2prime
떠나시는 조카의 스승님도 기다렸다 => 	SI_N2	뒤	f2prime
떠나는 스승님의 조카도 기다렸다 => 	PL_N1	뒤	f2prime
떠나는 조카의 스승님도 기다렸다 => 	PL_N2	앞	f2prime
떠나시는 스승님의 조카도 기다렸어요 => 	SI_N1	앞	f2prime
떠나시는 조카의 스승님도 기다렸어요 => 	SI_N2	뒤	f2prime
떠나는 스승님의 조카도 기다렸어요 => 	PL_N1	뒤	f2prime
떠나는 조카의 스승님도 기다렸어요 => 	PL_N2	앞	f2prime
웃으시는 박사님의 비서도 기다렸다 => 	SI_N1	앞	f2prime
웃으시는 비서의 박사님도 기다렸다 => 	SI_N2	뒤	f2prime
웃는 박사님의 비서도 기다렸다 => 	PL_N1	뒤	f2prime
웃는 비서의 박사님도 기다렸다 => 	PL_N2	앞	f2prime
웃으시는 박사님의 비서도 기다렸어요 => 	SI_N1	앞	f2prime
웃으시는 비서의 박사님도 기다렸어요 => 	SI_N2	뒤	f2prime
웃는 박사님의 비서도 기다렸어요 => 	PL_N1	뒤	f2prime
웃는 비서의 박사님도 기다렸어요 => 	PL_N2	앞	f2prime
오시는 박사님의 비서도 기다렸다 => 	SI_N1	앞	f2prime
오시는 비서의 박사님도 기다렸다 => 	SI_N2	뒤	f2prime
오는 박사님의 비서도 기다렸다 => 	PL_N1	뒤	f2prime
오는 비서의 박사님도 기다렸다 => 	PL_N2	앞	f2prime
오시는 박사님의 비서도 기다렸어요 => 	SI_N1	앞	f2prime
오시는 비서의 박사님도 기다렸어요 => 	SI_N2	뒤	f2prime
오는 박사님의 비서도 기다렸어요 => 	PL_N1	뒤	f2prime
오는 비서의 박사님도 기다렸어요 => 	PL_N2	앞	f2prime
떠나시는 박사님의 비서도 기다렸다 => 	SI_N1	앞	f2prime
떠나시는 비서의 박사님도 기다렸다 => 	SI_N2	뒤	f2prime
떠나는 박사님의 비서도 기다렸다 => 	PL_N1	뒤	f2prime
떠나는 비서의 박사님도 기다렸다 => 	PL_N2	앞	f2prime
떠나시는 박사님의 비서도 기다렸어요 => 	SI_N1	앞	f2prime
떠나시는 비서의 박사님도 기다렸어요 => 	SI_N2	뒤	f2prime
떠나는 박사님의 비서도 기다렸어요 => 	PL_N1	뒤	f2prime
떠나는 비서의 박사님도 기다렸어요 => 	PL_N2	앞	f2prime
웃으시는 박사님의 제자도 기다렸다 => 	SI_N1	앞	f2prime
웃으시는 제자의 박사님도 기다렸다 => 	SI_N2	뒤	f2prime
웃는 박사님의 제자도 기다렸다 => 	PL_N1	뒤	f2prime
웃는 제자의 박사님도 기다렸다 => 	PL_N2	앞	f2prime
웃으시는 박사님의 제자도 기다렸어요 => 	SI_N1	앞	f2prime
웃으시는 제자의 박사님도 기다렸어요 => 	SI_N2	뒤	f2prime
웃는 박사님의 제자도 기다렸어요 => 	PL_N1	뒤	f2prime
웃는 제자의 박사님도 기다렸어요 => 	PL_N2	앞	f2prime
오시는 박사님의 제자도 기다렸다 => 	SI_N1	앞	f2prime
오시는 제자의 박사님도 기다렸다 => 	SI_N2	뒤	f2prime
오는 박사님의 제자도 기다렸다 => 	PL_N1	뒤	f2prime
오는 제자의 박사님도 기다렸다 => 	PL_N2	앞	f2prime
오시는 박사님의 제자도 기다렸어요 => 	SI_N1	앞	f2prime
오시는 제자의 박사님도 기다렸어요 => 	SI_N2	뒤	f2prime
오는 박사님의 제자도 기다렸어요 => 	PL_N1	뒤	f2prime
오는 제자의 박사님도 기다렸어요 => 	PL_N2	앞	f2prime
떠나시는 박사님의 제자도 기다렸다 => 	SI_N1	앞	f2prime
떠나시는 제자의 박사님도 기다렸다 => 	SI_N2	뒤	f2prime
떠나는 박사님의 제자도 기다렸다 => 	PL_N1	뒤	f2prime
떠나는 제자의 박사님도 기다렸다 => 	PL_N2	앞	f2prime
떠나시는 박사님의 제자도 기다렸어요 => 	SI_N1	앞	f2prime
떠나시는 제자의 박사님도 기다렸어요 => 	SI_N2	뒤	f2prime
떠나는 박사님의 제자도 기다렸어요 => 	PL_N1	뒤	f2prime
떠나는 제자의 박사님도 기다렸어요 => 	PL_N2	앞	f2prime
쉬시는 선생님의 아이도 기다렸네요 => 	SI_N1	앞	f1prime
쉬시는 아이의 선생님도 기다렸네요 => 	SI_N2	뒤	f1prime
쉬는 선생님의 아이도 기다렸네요 => 	PL_N1	뒤	f1prime
쉬는 아이의 선생님도 기다렸네요 => 	PL_N2	앞	f1prime
달리시는 선생님의 아이도 기다렸네요 => 	SI_N1	앞	f1prime
달리시는 아이의 선생님도 기다렸네요 => 	SI_N2	뒤	f1prime
달리는 선생님의 아이도 기다렸네요 => 	PL_N1	뒤	f1prime
달리는 아이의 선생님도 기다렸네요 => 	PL_N2	앞	f1prime
노래하시는 선생님의 아이도 기다렸네요 => 	SI_N1	앞	f1prime
노래하시는 아이의 선생님도 기다렸네요 => 	SI_N2	뒤	f1prime
노래하는 선생님의 아이도 기다렸네요 => 	PL_N1	뒤	f1prime
노래하는 아이의 선생님도 기다렸네요 => 	PL_N2	앞	f1prime
춤추시는 선생님의 아이도 기다렸네요 => 	SI_N1	앞	f1prime
춤추시는 아이의 선생님도 기다렸네요 => 	SI_N2	뒤	f1prime
춤추는 선생님의 아이도 기다렸네요 => 	PL_N1	뒤	f1prime
춤추는 아이의 선생님도 기다렸네요 => 	PL_N2	앞	f1prime
쉬시는 교수님의 학생도 기다렸네요 => 	SI_N1	앞	f1prime
쉬시는 학생의 교수님도 기다렸네요 => 	SI_N2	뒤	f1prime
쉬는 교수님의 학생도 기다렸네요 => 	PL_N1	뒤	f1prime
쉬는 학생의 교수님도 기다렸네요 => 	PL_N2	앞	f1prime
달리시는 교수님의 학생도 기다렸네요 => 	SI_N1	앞	f1prime
달리시는 학생의 교수님도 기다렸네요 => 	SI_N2	뒤	f1prime
달리는 교수님의 학생도 기다렸네요 => 	PL_N1	뒤	f1prime
달리는 학생의 교수님도 기다렸네요 => 	PL_N2	앞	f1prime
노래하시는 교수님의 학생도 기다렸네요 => 	SI_N1	앞	f1prime
노래하시는 학생의 교수님도 기다렸네요 => 	SI_N2	뒤	f1prime
노래하는 교수님의 학생도 기다렸네요 => 	PL_N1	뒤	f1prime
노래하는 학생의 교수님도 기다렸네요 => 	PL_N2	앞	f1prime
춤추시는 교수님의 학생도 기다렸네요 => 	SI_N1	앞	f1prime
춤추시는 학생의 교수님도 기다렸네요 => 	SI_N2	뒤	f1prime
춤추는 교수님의 학생도 기다렸네요 => 	PL_N1	뒤	f1prime
춤추는 학생의 교수님도 기다렸네요 => 	PL_N2	앞	f1prime
쉬시는 사장님의 직원도 기다렸네요 => 	SI_N1	앞	f1prime
쉬시는 직원의 사장님도 기다렸네요 => 	SI_N2	뒤	f1prime
쉬는 사장님의 직원도 기다렸네요 => 	PL_N1	뒤	f1prime
쉬는 직원의 사장님도 기다렸네요 => 	PL_N2	앞	f1prime
달리시는 사장님의 직원도 기다렸네요 => 	SI_N1	앞	f1prime
달리시는 직원의 사장님도 기다렸네요 => 	SI_N2	뒤	f1prime
달리는 사장님의 직원도 기다렸네요 => 	PL_N1	뒤	f1prime
달리는 직원의 사장님도 기다렸네요 => 	PL_N2	앞	f1prime
노래하시는 사장님의 직원도 기다렸네요 => 	SI_N1	앞	f1prime
노래하시는 직원의 사장님도 기다렸네요 => 	SI_N2	뒤	f1prime
노래하는 사장님의 직원도 기다렸네요 => 	PL_N1	뒤	f1prime
노래하는 직원의 사장님도 기다렸네요 => 	PL_N2	앞	f1prime
춤추시는 사장님의 직원도 기다렸네요 => 	SI_N1	앞	f1prime
춤추시는 직원의 사장님도 기다렸네요 => 	SI_N2	뒤	f1prime
춤추는 사장님의 직원도 기다렸네요 => 	PL_N1	뒤	f1prime
춤추는 직원의 사장님도 기다렸네요 => 	PL_N2	앞	f1prime
쉬시는 아버님의 친구도 기다렸네요 => 	SI_N1	앞	f1prime
쉬시는 친구의 아버님도 기다렸네요 => 	SI_N2	뒤	f1prime
쉬는 아버님의 친구도 기다렸네요 => 	PL_N1	뒤	f1prime
쉬는 친구의 아버님도 기다렸네요 => 	PL_N2	앞	f1prime
달리시는 아버님의 친구도 기다렸네요 => 	SI_N1	앞	f1prime
달리시는 친구의 아버님도 기다렸네요 => 	SI_N2	뒤	f1prime
달리는 아버님의 친구도 기다렸네요 => 	PL_N1	뒤	f1prime
달리는 친구의 아버님도 기다렸네요 => 	PL_N2	앞	f1prime
노래하시는 아버님의 친구도 기다렸네요 => 	SI_N1	앞	f1prime
노래하시는 친구의 아버님도 기다렸네요 => 	SI_N2	뒤	f1prime
노래하는 아버님의 친구도 기다렸네요 => 	PL_N1	뒤	f1prime
노래하는 친구의 아버님도 기다렸네요 => 	PL_N2	앞	f1prime
춤추시는 아버님의 친구도 기다렸네요 => 	SI_N1	앞	f1prime
춤추시는 친구의 아버님도 기다렸네요 => 	SI_N2	뒤	f1prime
춤추는 아버님의 친구도 기다렸네요 => 	PL_N1	뒤	f1prime
춤추는 친구의 아버님도 기다렸네요 => 	PL_N2	앞	f1prime
